Time resolution is 1 ps
Time: 4335000 | Master Din: a5 |  Addr: 0010 | Write Enable: 0
Time: 4345000 | Master Din: 02 |  Addr: 0011 | Write Enable: 0
Time: 4355000 | Master Din: 00 |  Addr: 0011 | Write Enable: 0
Time: 4415000 | Master Din: 00 |  Addr: 0100 | Write Enable: 1
Time: 4455000 | Master Din: 00 |  Addr: 0100 | Write Enable: 0
Time: 4465000 | Master Din: 04 |  Addr: 0101 | Write Enable: 0
Time: 4475000 | Master Din: a5 |  Addr: 0101 | Write Enable: 0
Time: 4505000 | Master Din: a5 |  Addr: 0110 | Write Enable: 1
Time: 4535000 | Master Din: a5 |  Addr: 0110 | Write Enable: 0
Time: 4545000 | Master Din: 06 |  Addr: 0110 | Write Enable: 0
Time: 4575000 | Master Din: 06 |  Addr: 0001 | Write Enable: 0
Time: 4585000 | Master Din: a5 |  Addr: 0001 | Write Enable: 0
Time: 4625000 | Master Din: a5 |  Addr: 0010 | Write Enable: 1
Time: 4655000 | Master Din: a5 |  Addr: 0010 | Write Enable: 0
Time: 4665000 | Master Din: 02 |  Addr: 0011 | Write Enable: 0
Time: 4675000 | Master Din: 00 |  Addr: 0011 | Write Enable: 0
Time: 4735000 | Master Din: 00 |  Addr: 0100 | Write Enable: 1
Time: 4775000 | Master Din: 00 |  Addr: 0100 | Write Enable: 0
Time: 4785000 | Master Din: 04 |  Addr: 0101 | Write Enable: 0
Time: 4795000 | Master Din: a5 |  Addr: 0101 | Write Enable: 0
Time: 4825000 | Master Din: a5 |  Addr: 0110 | Write Enable: 1
Time: 4855000 | Master Din: a5 |  Addr: 0110 | Write Enable: 0
Time: 4865000 | Master Din: 06 |  Addr: 0110 | Write Enable: 0
Time: 4895000 | Master Din: 06 |  Addr: 0001 | Write Enable: 0
Time: 4905000 | Master Din: a5 |  Addr: 0001 | Write Enable: 0
Time: 4945000 | Master Din: a5 |  Addr: 0010 | Write Enable: 1
Time: 4975000 | Master Din: a5 |  Addr: 0010 | Write Enable: 0
Time: 4985000 | Master Din: 02 |  Addr: 0011 | Write Enable: 0
Time: 4995000 | Master Din: 00 |  Addr: 0011 | Write Enable: 0
Time: 5055000 | Master Din: 00 |  Addr: 0100 | Write Enable: 1
Time: 5095000 | Master Din: 00 |  Addr: 0100 | Write Enable: 0
Time: 5105000 | Master Din: 04 |  Addr: 0101 | Write Enable: 0
Time: 5115000 | Master Din: a5 |  Addr: 0101 | Write Enable: 0
Time: 5145000 | Master Din: a5 |  Addr: 0110 | Write Enable: 1
Time: 5175000 | Master Din: a5 |  Addr: 0110 | Write Enable: 0
Time: 5185000 | Master Din: 06 |  Addr: 0110 | Write Enable: 0
Time: 5215000 | Master Din: 06 |  Addr: 0001 | Write Enable: 0
Time: 5225000 | Master Din: a5 |  Addr: 0001 | Write Enable: 0
Time: 5265000 | Master Din: a5 |  Addr: 0010 | Write Enable: 1
Time: 5295000 | Master Din: a5 |  Addr: 0010 | Write Enable: 0
Time: 5305000 | Master Din: 02 |  Addr: 0011 | Write Enable: 0
Time: 5315000 | Master Din: 00 |  Addr: 0011 | Write Enable: 0
Time: 5375000 | Master Din: 00 |  Addr: 0100 | Write Enable: 1
Time: 5415000 | Master Din: 00 |  Addr: 0100 | Write Enable: 0
Time: 5425000 | Master Din: 04 |  Addr: 0101 | Write Enable: 0
Time: 5435000 | Master Din: a5 |  Addr: 0101 | Write Enable: 0
Time: 5465000 | Master Din: a5 |  Addr: 0110 | Write Enable: 1
Time: 5495000 | Master Din: a5 |  Addr: 0110 | Write Enable: 0
Time: 5505000 | Master Din: 06 |  Addr: 0110 | Write Enable: 0
Time: 5535000 | Master Din: 06 |  Addr: 0001 | Write Enable: 0
Time: 5545000 | Master Din: a5 |  Addr: 0001 | Write Enable: 0
Time: 5585000 | Master Din: a5 |  Addr: 0010 | Write Enable: 1
Time: 5615000 | Master Din: a5 |  Addr: 0010 | Write Enable: 0
Time: 5625000 | Master Din: 02 |  Addr: 0011 | Write Enable: 0
Time: 5635000 | Master Din: 00 |  Addr: 0011 | Write Enable: 0
Time: 5695000 | Master Din: 00 |  Addr: 0100 | Write Enable: 1
Time: 5735000 | Master Din: 00 |  Addr: 0100 | Write Enable: 0
Time: 5745000 | Master Din: 04 |  Addr: 0101 | Write Enable: 0
Time: 5755000 | Master Din: a5 |  Addr: 0101 | Write Enable: 0
Time: 5785000 | Master Din: a5 |  Addr: 0110 | Write Enable: 1
Time: 5815000 | Master Din: a5 |  Addr: 0110 | Write Enable: 0
Time: 5825000 | Master Din: 06 |  Addr: 0110 | Write Enable: 0
Time: 5855000 | Master Din: 06 |  Addr: 0001 | Write Enable: 0
Time: 5865000 | Master Din: a5 |  Addr: 0001 | Write Enable: 0
Time: 5905000 | Master Din: a5 |  Addr: 0010 | Write Enable: 1
Time: 5935000 | Master Din: a5 |  Addr: 0010 | Write Enable: 0
Time: 5945000 | Master Din: 02 |  Addr: 0011 | Write Enable: 0
Time: 5955000 | Master Din: 00 |  Addr: 0011 | Write Enable: 0
Time: 6015000 | Master Din: 00 |  Addr: 0100 | Write Enable: 1
Time: 6055000 | Master Din: 00 |  Addr: 0100 | Write Enable: 0
Time: 6065000 | Master Din: 04 |  Addr: 0101 | Write Enable: 0
Time: 6075000 | Master Din: a5 |  Addr: 0101 | Write Enable: 0
Time: 6105000 | Master Din: a5 |  Addr: 0110 | Write Enable: 1
Time: 6135000 | Master Din: a5 |  Addr: 0110 | Write Enable: 0
Time: 6145000 | Master Din: 06 |  Addr: 0110 | Write Enable: 0
Time: 6175000 | Master Din: 06 |  Addr: 0001 | Write Enable: 0
